,line_id,tag_type,country,length,voltage,circuits,tag_frequency,bus0,bus1,underground,under_construction,dc,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
16,1342391373_0,line,BO,194647.7187486912,230000,3.0,50.0,1,26,False,False,False,"LINESTRING (-68.1685 -16.6906, -68.169479 -16.691566, -67.044731 -17.96955, -67.0437 -17.9686)","MULTIPOINT ((-68.1685 -16.6906), (-67.0437 -17.9686))",POINT (-68.1685 -16.6906),POINT (-67.0437 -17.9686),-68.1685,-16.6906,-67.0437,-17.9686
17,837974539_0,line,BO,69557.32056861672,230000,3.0,50.0,40,4,False,False,False,"LINESTRING (-65.7732 -17.157, -65.773168 -17.156959, -66.220564 -17.573273, -66.2204 -17.5733)","MULTIPOINT ((-65.7732 -17.157), (-66.2204 -17.5733))",POINT (-65.7732 -17.157),POINT (-66.2204 -17.5733),-65.7732,-17.157,-66.2204,-17.5733
18,-1389783646_0,line,BO,69557.32056861672,230000,3.0,50.0,40,4,False,False,False,"LINESTRING (-65.7732 -17.157, -65.773168 -17.156959, -66.220564 -17.573273, -66.2204 -17.5733)","MULTIPOINT ((-65.7732 -17.157), (-66.2204 -17.5733))",POINT (-65.7732 -17.157),POINT (-66.2204 -17.5733),-65.7732,-17.157,-66.2204,-17.5733
19,-657715146_0,line,BO,30545.694856868664,230000,6.0,50.0,41,1,False,False,False,"LINESTRING (-67.9237 -16.5746, -67.923726 -16.574612, -68.169479 -16.691566, -68.1685 -16.6906)","MULTIPOINT ((-67.9237 -16.5746), (-68.1685 -16.6906))",POINT (-67.9237 -16.5746),POINT (-68.1685 -16.6906),-67.9237,-16.5746,-68.1685,-16.6906
20,-1516111715_0,line,BO,50175.09173675109,230000,3.0,50.0,3,11,False,False,False,"LINESTRING (-65.7496 -17.1771, -65.750613 -17.178102, -66.11722 -17.428451, -66.1158 -17.4272)","MULTIPOINT ((-65.7496 -17.1771), (-66.1158 -17.4272))",POINT (-65.7496 -17.1771),POINT (-66.1158 -17.4272),-65.7496,-17.1771,-66.1158,-17.4272
21,1995198495_0,line,BO,3517.4456114325635,230000,3.0,50.0,3,40,False,False,False,"LINESTRING (-65.7496 -17.1771, -65.750613 -17.178102, -65.773168 -17.156959, -65.7732 -17.157)","MULTIPOINT ((-65.7496 -17.1771), (-65.7732 -17.157))",POINT (-65.7496 -17.1771),POINT (-65.7732 -17.157),-65.7496,-17.1771,-65.7732,-17.157
22,-1282014296_0,line,BO,49399.412341111405,230000,3.0,50.0,42,34,False,False,False,"LINESTRING (-62.8545 -17.8229, -62.85447 -17.822856, -63.217863 -18.065164, -63.2179 -18.0652)","MULTIPOINT ((-62.8545 -17.8229), (-63.2179 -18.0652))",POINT (-62.8545 -17.8229),POINT (-63.2179 -18.0652),-62.8545,-17.8229,-63.2179,-18.0652
23,1725610665_0,line,BO,49399.412341111405,230000,3.0,50.0,42,34,False,False,False,"LINESTRING (-62.8545 -17.8229, -62.85447 -17.822856, -63.217863 -18.065164, -63.2179 -18.0652)","MULTIPOINT ((-62.8545 -17.8229), (-63.2179 -18.0652))",POINT (-62.8545 -17.8229),POINT (-63.2179 -18.0652),-62.8545,-17.8229,-63.2179,-18.0652
24,2000149022_0,line,BO,102762.30921910678,230000,3.0,50.0,4,7,False,False,False,"LINESTRING (-66.2204 -17.5733, -66.220564 -17.573273, -67.109151 -17.811603, -67.1082 -17.8106)","MULTIPOINT ((-66.2204 -17.5733), (-67.1082 -17.8106))",POINT (-66.2204 -17.5733),POINT (-67.1082 -17.8106),-66.2204,-17.5733,-67.1082,-17.8106
25,483659582_0,line,BO,19818.89225872921,230000,3.0,50.0,7,26,False,False,False,"LINESTRING (-67.1082 -17.8106, -67.109151 -17.811603, -67.044731 -17.96955, -67.0437 -17.9686)","MULTIPOINT ((-67.1082 -17.8106), (-67.0437 -17.9686))",POINT (-67.1082 -17.8106),POINT (-67.0437 -17.9686),-67.1082,-17.8106,-67.0437,-17.9686
