,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
55,55,37,115000,False,substation,False,transmission,0.0,-67.835,-16.286,BO,POINT (-67.835 -16.286),True
56,56,38,115000,False,substation,False,transmission,0.0,-65.9485,-17.2059,BO,POINT (-65.9485 -17.2059),True
57,57,39,115000,False,substation,False,transmission,0.0,-65.7074,-19.4833,BO,POINT (-65.7074 -19.4833),True
58,58,40,115000,False,substation,False,transmission,0.0,-67.9771,-16.0415,BO,POINT (-67.9771 -16.0415),True
59,59,41,115000,False,substation,False,transmission,0.0,-68.1818,-16.566,BO,POINT (-68.1818 -16.566),True
60,60,42,115000,False,substation,False,transmission,0.0,-65.8377,-18.8788,BO,POINT (-65.8377 -18.8788),True
61,61,43,115000,False,substation,False,transmission,0.0,-65.8575,-17.5157,BO,POINT (-65.8575 -17.5157),True
62,62,44,115000,False,substation,False,transmission,0.0,-65.9808,-17.3844,BO,POINT (-65.9808 -17.3844),True
63,63,45,115000,False,substation,False,transmission,0.0,-65.823,-17.1919,BO,POINT (-65.823 -17.1919),True
64,64,46,115000,False,substation,False,transmission,0.0,-68.1882,-16.5764,BO,POINT (-68.1882 -16.5764),True
65,65,47,115000,False,substation,False,transmission,0.0,-66.2933,-17.7318,BO,POINT (-66.2933 -17.7318),True
66,66,48,115000,False,substation,False,transmission,0.0,-66.7707,-14.9053,BO,POINT (-66.7707 -14.9053),True
67,67,49,115000,False,substation,False,transmission,0.0,-65.6304,-15.0007,BO,POINT (-65.6304 -15.0007),True
68,68,50,115000,False,substation,False,transmission,0.0,-67.0223,-15.143,BO,POINT (-67.0223 -15.143),True
69,69,51,69000,False,substation,False,transmission,0.0,-65.2684,-19.0446,BO,POINT (-65.2684 -19.0446),True
70,70,52,69000,False,substation,False,transmission,0.0,-65.5901,-19.5255,BO,POINT (-65.5901 -19.5255),True
71,71,53,69000,False,substation,False,transmission,0.0,-65.722,-19.5519,BO,POINT (-65.722 -19.5519),True
