Line,Line
-753810532_0,-753810532_0
1689922187_0,1689922187_0
2035876983_0,2035876983_0
1117936324_0,1117936324_0
1635802992_0,1635802992_0
1608386132_0,1608386132_0
-12578261_0,-12578261_0
-382422293_0,-382422293_0
-1578860216_0,-1578860216_0
-1452859278_0,-1452859278_0
1089459438_0,1089459438_0
-1025814263_0,-1025814263_0
-2037512606_0,-2037512606_0
-1234324271_0,-1234324271_0
-1464549976_0,-1464549976_0
1384506802_0,1384506802_0
1342391373_0,1342391373_0
837974539_0,837974539_0
-1389783646_0,-1389783646_0
-657715146_0,-657715146_0
-1516111715_0,-1516111715_0
1995198495_0,1995198495_0
-1282014296_0,-1282014296_0
1725610665_0,1725610665_0
2000149022_0,2000149022_0
483659582_0,483659582_0
-646530031_0,-646530031_0
1907994245_0,1907994245_0
-1382799058_0,-1382799058_0
-1359706950_0,-1359706950_0
1487666159_0,1487666159_0
531108144_0,531108144_0
1680295840_0,1680295840_0
-818481380_0,-818481380_0
-1617796573_0,-1617796573_0
2099635059_0,2099635059_0
-1953944760_0,-1953944760_0
1007144354_0,1007144354_0
2009226556_0,2009226556_0
-1581250990_0,-1581250990_0
94044364_0,94044364_0
346179098_0,346179098_0
1118471612_0,1118471612_0
-267795115_0,-267795115_0
-964455789_0,-964455789_0
-1852926576_0,-1852926576_0
1309316397_0,1309316397_0
-925448157_0,-925448157_0
1302371731_0,1302371731_0
1351757781_0,1351757781_0
-1786957592_0,-1786957592_0
-1704959333_0,-1704959333_0
-444590878_0,-444590878_0
-885807357_0,-885807357_0
1686888444_0,1686888444_0
-1559876706_0,-1559876706_0
-1610587687_0,-1610587687_0
1064099230_0,1064099230_0
1622358979_0,1622358979_0
95418176_0,95418176_0
-1658871680_0,-1658871680_0
-1016478854_0,-1016478854_0
-1495835241_0,-1495835241_0
-2011192660_0,-2011192660_0
-1705350592_0,-1705350592_0
1631160969_0,1631160969_0
-393847358_0,-393847358_0
-885192936_0,-885192936_0
2048231543_0,2048231543_0
321953905_0,321953905_0
-546895751_0,-546895751_0
733428179_0,733428179_0
-2004087020_0,-2004087020_0
-1964503845_0,-1964503845_0
-413285834_0,-413285834_0
1594273463_0,1594273463_0
1208445144_0,1208445144_0
1872975398_0,1872975398_0
-1083446465_0,-1083446465_0
976170643_0,976170643_0
-929792848_0,-929792848_0
1286796265_0,1286796265_0
1333044421_0,1333044421_0
1244424213_0,1244424213_0
-251780797_0,-251780797_0
-694231642_0,-694231642_0
1342245003_0,1342245003_0
-450422875_0,-450422875_0
2140782312_0,2140782312_0
-947615685_0,-947615685_0
-1008369492_0,-1008369492_0
-724931943_0,-724931943_0
-1003233322_0,-1003233322_0
-1698692648_0,-1698692648_0
-1788193310_0,-1788193310_0
950706355_0,950706355_0
-1827864536_0,-1827864536_0
793200187_0,793200187_0
-1326778859_0,-1326778859_0
-890252095_0,-890252095_0
1385764829_0,1385764829_0
211471178_0,211471178_0
52149683_0,52149683_0
591181987_0,591181987_0
935740859_0,935740859_0
604673162_0,604673162_0
1187560986_0,1187560986_0
71312658_0,71312658_0
1183053792_0,1183053792_0
868669670_0,868669670_0
433304102_0,433304102_0
869106671_0,869106671_0
104355897_0,104355897_0
1053115078_0,1053115078_0
